language,min_tokens,threshold_pct,tp,fp,fn,precision,recall,f1,raw_pairs_txt
cpp,5,50,36,1,0,0.972973,1.000000,0.986301,final-hybrid/sweep_py/mix_t5.txt
cpp,5,55,36,0,0,1.000000,1.000000,1.000000,final-hybrid/sweep_py/mix_t5.txt
cpp,5,60,36,0,0,1.000000,1.000000,1.000000,final-hybrid/sweep_py/mix_t5.txt
cpp,5,65,36,0,0,1.000000,1.000000,1.000000,final-hybrid/sweep_py/mix_t5.txt
cpp,5,70,36,0,0,1.000000,1.000000,1.000000,final-hybrid/sweep_py/mix_t5.txt
cpp,5,75,36,0,0,1.000000,1.000000,1.000000,final-hybrid/sweep_py/mix_t5.txt
cpp,5,80,32,0,4,1.000000,0.888889,0.941176,final-hybrid/sweep_py/mix_t5.txt
cpp,5,85,20,0,16,1.000000,0.555556,0.714286,final-hybrid/sweep_py/mix_t5.txt
cpp,5,90,13,0,23,1.000000,0.361111,0.530612,final-hybrid/sweep_py/mix_t5.txt
cpp,5,95,11,0,25,1.000000,0.305556,0.468085,final-hybrid/sweep_py/mix_t5.txt
cpp,10,50,36,1,0,0.972973,1.000000,0.986301,final-hybrid/sweep_py/mix_t10.txt
cpp,10,55,36,0,0,1.000000,1.000000,1.000000,final-hybrid/sweep_py/mix_t10.txt
cpp,10,60,36,0,0,1.000000,1.000000,1.000000,final-hybrid/sweep_py/mix_t10.txt
cpp,10,65,36,0,0,1.000000,1.000000,1.000000,final-hybrid/sweep_py/mix_t10.txt
cpp,10,70,36,0,0,1.000000,1.000000,1.000000,final-hybrid/sweep_py/mix_t10.txt
cpp,10,75,36,0,0,1.000000,1.000000,1.000000,final-hybrid/sweep_py/mix_t10.txt
cpp,10,80,32,0,4,1.000000,0.888889,0.941176,final-hybrid/sweep_py/mix_t10.txt
cpp,10,85,20,0,16,1.000000,0.555556,0.714286,final-hybrid/sweep_py/mix_t10.txt
cpp,10,90,13,0,23,1.000000,0.361111,0.530612,final-hybrid/sweep_py/mix_t10.txt
cpp,10,95,11,0,25,1.000000,0.305556,0.468085,final-hybrid/sweep_py/mix_t10.txt
cpp,15,50,36,1,0,0.972973,1.000000,0.986301,final-hybrid/sweep_py/mix_t15.txt
cpp,15,55,36,0,0,1.000000,1.000000,1.000000,final-hybrid/sweep_py/mix_t15.txt
cpp,15,60,36,0,0,1.000000,1.000000,1.000000,final-hybrid/sweep_py/mix_t15.txt
cpp,15,65,36,0,0,1.000000,1.000000,1.000000,final-hybrid/sweep_py/mix_t15.txt
cpp,15,70,36,0,0,1.000000,1.000000,1.000000,final-hybrid/sweep_py/mix_t15.txt
cpp,15,75,36,0,0,1.000000,1.000000,1.000000,final-hybrid/sweep_py/mix_t15.txt
cpp,15,80,32,0,4,1.000000,0.888889,0.941176,final-hybrid/sweep_py/mix_t15.txt
cpp,15,85,20,0,16,1.000000,0.555556,0.714286,final-hybrid/sweep_py/mix_t15.txt
cpp,15,90,13,0,23,1.000000,0.361111,0.530612,final-hybrid/sweep_py/mix_t15.txt
cpp,15,95,11,0,25,1.000000,0.305556,0.468085,final-hybrid/sweep_py/mix_t15.txt
cpp,20,50,36,1,0,0.972973,1.000000,0.986301,final-hybrid/sweep_py/mix_t20.txt
cpp,20,55,36,0,0,1.000000,1.000000,1.000000,final-hybrid/sweep_py/mix_t20.txt
cpp,20,60,36,0,0,1.000000,1.000000,1.000000,final-hybrid/sweep_py/mix_t20.txt
cpp,20,65,36,0,0,1.000000,1.000000,1.000000,final-hybrid/sweep_py/mix_t20.txt
cpp,20,70,36,0,0,1.000000,1.000000,1.000000,final-hybrid/sweep_py/mix_t20.txt
cpp,20,75,36,0,0,1.000000,1.000000,1.000000,final-hybrid/sweep_py/mix_t20.txt
cpp,20,80,32,0,4,1.000000,0.888889,0.941176,final-hybrid/sweep_py/mix_t20.txt
cpp,20,85,20,0,16,1.000000,0.555556,0.714286,final-hybrid/sweep_py/mix_t20.txt
cpp,20,90,13,0,23,1.000000,0.361111,0.530612,final-hybrid/sweep_py/mix_t20.txt
cpp,20,95,11,0,25,1.000000,0.305556,0.468085,final-hybrid/sweep_py/mix_t20.txt
