language,min_tokens,threshold_pct,tp,fp,fn,precision,recall,f1,raw_pairs_txt
java,5,50,36,0,0,1.000000,1.000000,1.000000,final-hybrid/sweep_py/mix_t5.txt
java,5,55,36,0,0,1.000000,1.000000,1.000000,final-hybrid/sweep_py/mix_t5.txt
java,5,60,33,0,3,1.000000,0.916667,0.956522,final-hybrid/sweep_py/mix_t5.txt
java,5,65,33,0,3,1.000000,0.916667,0.956522,final-hybrid/sweep_py/mix_t5.txt
java,5,70,32,0,4,1.000000,0.888889,0.941176,final-hybrid/sweep_py/mix_t5.txt
java,5,75,29,0,7,1.000000,0.805556,0.892308,final-hybrid/sweep_py/mix_t5.txt
java,5,80,23,0,13,1.000000,0.638889,0.779661,final-hybrid/sweep_py/mix_t5.txt
java,5,85,20,0,16,1.000000,0.555556,0.714286,final-hybrid/sweep_py/mix_t5.txt
java,5,90,10,0,26,1.000000,0.277778,0.434783,final-hybrid/sweep_py/mix_t5.txt
java,5,95,4,0,32,1.000000,0.111111,0.200000,final-hybrid/sweep_py/mix_t5.txt
java,10,50,36,0,0,1.000000,1.000000,1.000000,final-hybrid/sweep_py/mix_t10.txt
java,10,55,36,0,0,1.000000,1.000000,1.000000,final-hybrid/sweep_py/mix_t10.txt
java,10,60,33,0,3,1.000000,0.916667,0.956522,final-hybrid/sweep_py/mix_t10.txt
java,10,65,33,0,3,1.000000,0.916667,0.956522,final-hybrid/sweep_py/mix_t10.txt
java,10,70,32,0,4,1.000000,0.888889,0.941176,final-hybrid/sweep_py/mix_t10.txt
java,10,75,29,0,7,1.000000,0.805556,0.892308,final-hybrid/sweep_py/mix_t10.txt
java,10,80,23,0,13,1.000000,0.638889,0.779661,final-hybrid/sweep_py/mix_t10.txt
java,10,85,20,0,16,1.000000,0.555556,0.714286,final-hybrid/sweep_py/mix_t10.txt
java,10,90,10,0,26,1.000000,0.277778,0.434783,final-hybrid/sweep_py/mix_t10.txt
java,10,95,4,0,32,1.000000,0.111111,0.200000,final-hybrid/sweep_py/mix_t10.txt
java,15,50,36,0,0,1.000000,1.000000,1.000000,final-hybrid/sweep_py/mix_t15.txt
java,15,55,36,0,0,1.000000,1.000000,1.000000,final-hybrid/sweep_py/mix_t15.txt
java,15,60,33,0,3,1.000000,0.916667,0.956522,final-hybrid/sweep_py/mix_t15.txt
java,15,65,33,0,3,1.000000,0.916667,0.956522,final-hybrid/sweep_py/mix_t15.txt
java,15,70,32,0,4,1.000000,0.888889,0.941176,final-hybrid/sweep_py/mix_t15.txt
java,15,75,29,0,7,1.000000,0.805556,0.892308,final-hybrid/sweep_py/mix_t15.txt
java,15,80,23,0,13,1.000000,0.638889,0.779661,final-hybrid/sweep_py/mix_t15.txt
java,15,85,20,0,16,1.000000,0.555556,0.714286,final-hybrid/sweep_py/mix_t15.txt
java,15,90,10,0,26,1.000000,0.277778,0.434783,final-hybrid/sweep_py/mix_t15.txt
java,15,95,4,0,32,1.000000,0.111111,0.200000,final-hybrid/sweep_py/mix_t15.txt
java,20,50,36,0,0,1.000000,1.000000,1.000000,final-hybrid/sweep_py/mix_t20.txt
java,20,55,36,0,0,1.000000,1.000000,1.000000,final-hybrid/sweep_py/mix_t20.txt
java,20,60,33,0,3,1.000000,0.916667,0.956522,final-hybrid/sweep_py/mix_t20.txt
java,20,65,33,0,3,1.000000,0.916667,0.956522,final-hybrid/sweep_py/mix_t20.txt
java,20,70,32,0,4,1.000000,0.888889,0.941176,final-hybrid/sweep_py/mix_t20.txt
java,20,75,29,0,7,1.000000,0.805556,0.892308,final-hybrid/sweep_py/mix_t20.txt
java,20,80,23,0,13,1.000000,0.638889,0.779661,final-hybrid/sweep_py/mix_t20.txt
java,20,85,20,0,16,1.000000,0.555556,0.714286,final-hybrid/sweep_py/mix_t20.txt
java,20,90,10,0,26,1.000000,0.277778,0.434783,final-hybrid/sweep_py/mix_t20.txt
java,20,95,4,0,32,1.000000,0.111111,0.200000,final-hybrid/sweep_py/mix_t20.txt
