language,min_tokens,threshold_pct,tp,fp,fn,precision,recall,f1,raw_pairs_txt
javascript,5,50,36,3,0,0.923077,1.000000,0.960000,final-hybrid/sweep_py/mix_t5.txt
javascript,5,55,36,0,0,1.000000,1.000000,1.000000,final-hybrid/sweep_py/mix_t5.txt
javascript,5,60,36,0,0,1.000000,1.000000,1.000000,final-hybrid/sweep_py/mix_t5.txt
javascript,5,65,36,0,0,1.000000,1.000000,1.000000,final-hybrid/sweep_py/mix_t5.txt
javascript,5,70,33,0,3,1.000000,0.916667,0.956522,final-hybrid/sweep_py/mix_t5.txt
javascript,5,75,32,0,4,1.000000,0.888889,0.941176,final-hybrid/sweep_py/mix_t5.txt
javascript,5,80,26,0,10,1.000000,0.722222,0.838710,final-hybrid/sweep_py/mix_t5.txt
javascript,5,85,20,0,16,1.000000,0.555556,0.714286,final-hybrid/sweep_py/mix_t5.txt
javascript,5,90,13,0,23,1.000000,0.361111,0.530612,final-hybrid/sweep_py/mix_t5.txt
javascript,5,95,8,0,28,1.000000,0.222222,0.363636,final-hybrid/sweep_py/mix_t5.txt
javascript,10,50,36,3,0,0.923077,1.000000,0.960000,final-hybrid/sweep_py/mix_t10.txt
javascript,10,55,36,0,0,1.000000,1.000000,1.000000,final-hybrid/sweep_py/mix_t10.txt
javascript,10,60,36,0,0,1.000000,1.000000,1.000000,final-hybrid/sweep_py/mix_t10.txt
javascript,10,65,36,0,0,1.000000,1.000000,1.000000,final-hybrid/sweep_py/mix_t10.txt
javascript,10,70,33,0,3,1.000000,0.916667,0.956522,final-hybrid/sweep_py/mix_t10.txt
javascript,10,75,32,0,4,1.000000,0.888889,0.941176,final-hybrid/sweep_py/mix_t10.txt
javascript,10,80,26,0,10,1.000000,0.722222,0.838710,final-hybrid/sweep_py/mix_t10.txt
javascript,10,85,20,0,16,1.000000,0.555556,0.714286,final-hybrid/sweep_py/mix_t10.txt
javascript,10,90,13,0,23,1.000000,0.361111,0.530612,final-hybrid/sweep_py/mix_t10.txt
javascript,10,95,8,0,28,1.000000,0.222222,0.363636,final-hybrid/sweep_py/mix_t10.txt
javascript,15,50,36,3,0,0.923077,1.000000,0.960000,final-hybrid/sweep_py/mix_t15.txt
javascript,15,55,36,0,0,1.000000,1.000000,1.000000,final-hybrid/sweep_py/mix_t15.txt
javascript,15,60,36,0,0,1.000000,1.000000,1.000000,final-hybrid/sweep_py/mix_t15.txt
javascript,15,65,36,0,0,1.000000,1.000000,1.000000,final-hybrid/sweep_py/mix_t15.txt
javascript,15,70,33,0,3,1.000000,0.916667,0.956522,final-hybrid/sweep_py/mix_t15.txt
javascript,15,75,32,0,4,1.000000,0.888889,0.941176,final-hybrid/sweep_py/mix_t15.txt
javascript,15,80,26,0,10,1.000000,0.722222,0.838710,final-hybrid/sweep_py/mix_t15.txt
javascript,15,85,20,0,16,1.000000,0.555556,0.714286,final-hybrid/sweep_py/mix_t15.txt
javascript,15,90,13,0,23,1.000000,0.361111,0.530612,final-hybrid/sweep_py/mix_t15.txt
javascript,15,95,8,0,28,1.000000,0.222222,0.363636,final-hybrid/sweep_py/mix_t15.txt
javascript,20,50,36,3,0,0.923077,1.000000,0.960000,final-hybrid/sweep_py/mix_t20.txt
javascript,20,55,36,0,0,1.000000,1.000000,1.000000,final-hybrid/sweep_py/mix_t20.txt
javascript,20,60,36,0,0,1.000000,1.000000,1.000000,final-hybrid/sweep_py/mix_t20.txt
javascript,20,65,36,0,0,1.000000,1.000000,1.000000,final-hybrid/sweep_py/mix_t20.txt
javascript,20,70,33,0,3,1.000000,0.916667,0.956522,final-hybrid/sweep_py/mix_t20.txt
javascript,20,75,32,0,4,1.000000,0.888889,0.941176,final-hybrid/sweep_py/mix_t20.txt
javascript,20,80,26,0,10,1.000000,0.722222,0.838710,final-hybrid/sweep_py/mix_t20.txt
javascript,20,85,20,0,16,1.000000,0.555556,0.714286,final-hybrid/sweep_py/mix_t20.txt
javascript,20,90,13,0,23,1.000000,0.361111,0.530612,final-hybrid/sweep_py/mix_t20.txt
javascript,20,95,8,0,28,1.000000,0.222222,0.363636,final-hybrid/sweep_py/mix_t20.txt
