language,min_tokens,threshold_pct,tp,fp,fn,precision,recall,f1,raw_pairs_txt
python,5,50,36,0,0,1.000000,1.000000,1.000000,final-hybrid/sweep_py/mix_t5.txt
python,5,55,36,0,0,1.000000,1.000000,1.000000,final-hybrid/sweep_py/mix_t5.txt
python,5,60,36,0,0,1.000000,1.000000,1.000000,final-hybrid/sweep_py/mix_t5.txt
python,5,65,33,0,3,1.000000,0.916667,0.956522,final-hybrid/sweep_py/mix_t5.txt
python,5,70,32,0,4,1.000000,0.888889,0.941176,final-hybrid/sweep_py/mix_t5.txt
python,5,75,32,0,4,1.000000,0.888889,0.941176,final-hybrid/sweep_py/mix_t5.txt
python,5,80,27,0,9,1.000000,0.750000,0.857143,final-hybrid/sweep_py/mix_t5.txt
python,5,85,20,0,16,1.000000,0.555556,0.714286,final-hybrid/sweep_py/mix_t5.txt
python,5,90,14,0,22,1.000000,0.388889,0.560000,final-hybrid/sweep_py/mix_t5.txt
python,5,95,6,0,30,1.000000,0.166667,0.285714,final-hybrid/sweep_py/mix_t5.txt
python,10,50,36,0,0,1.000000,1.000000,1.000000,final-hybrid/sweep_py/mix_t10.txt
python,10,55,36,0,0,1.000000,1.000000,1.000000,final-hybrid/sweep_py/mix_t10.txt
python,10,60,36,0,0,1.000000,1.000000,1.000000,final-hybrid/sweep_py/mix_t10.txt
python,10,65,33,0,3,1.000000,0.916667,0.956522,final-hybrid/sweep_py/mix_t10.txt
python,10,70,32,0,4,1.000000,0.888889,0.941176,final-hybrid/sweep_py/mix_t10.txt
python,10,75,32,0,4,1.000000,0.888889,0.941176,final-hybrid/sweep_py/mix_t10.txt
python,10,80,27,0,9,1.000000,0.750000,0.857143,final-hybrid/sweep_py/mix_t10.txt
python,10,85,20,0,16,1.000000,0.555556,0.714286,final-hybrid/sweep_py/mix_t10.txt
python,10,90,14,0,22,1.000000,0.388889,0.560000,final-hybrid/sweep_py/mix_t10.txt
python,10,95,6,0,30,1.000000,0.166667,0.285714,final-hybrid/sweep_py/mix_t10.txt
python,15,50,36,0,0,1.000000,1.000000,1.000000,final-hybrid/sweep_py/mix_t15.txt
python,15,55,36,0,0,1.000000,1.000000,1.000000,final-hybrid/sweep_py/mix_t15.txt
python,15,60,36,0,0,1.000000,1.000000,1.000000,final-hybrid/sweep_py/mix_t15.txt
python,15,65,33,0,3,1.000000,0.916667,0.956522,final-hybrid/sweep_py/mix_t15.txt
python,15,70,32,0,4,1.000000,0.888889,0.941176,final-hybrid/sweep_py/mix_t15.txt
python,15,75,32,0,4,1.000000,0.888889,0.941176,final-hybrid/sweep_py/mix_t15.txt
python,15,80,27,0,9,1.000000,0.750000,0.857143,final-hybrid/sweep_py/mix_t15.txt
python,15,85,20,0,16,1.000000,0.555556,0.714286,final-hybrid/sweep_py/mix_t15.txt
python,15,90,14,0,22,1.000000,0.388889,0.560000,final-hybrid/sweep_py/mix_t15.txt
python,15,95,6,0,30,1.000000,0.166667,0.285714,final-hybrid/sweep_py/mix_t15.txt
python,20,50,36,0,0,1.000000,1.000000,1.000000,final-hybrid/sweep_py/mix_t20.txt
python,20,55,36,0,0,1.000000,1.000000,1.000000,final-hybrid/sweep_py/mix_t20.txt
python,20,60,36,0,0,1.000000,1.000000,1.000000,final-hybrid/sweep_py/mix_t20.txt
python,20,65,33,0,3,1.000000,0.916667,0.956522,final-hybrid/sweep_py/mix_t20.txt
python,20,70,32,0,4,1.000000,0.888889,0.941176,final-hybrid/sweep_py/mix_t20.txt
python,20,75,32,0,4,1.000000,0.888889,0.941176,final-hybrid/sweep_py/mix_t20.txt
python,20,80,27,0,9,1.000000,0.750000,0.857143,final-hybrid/sweep_py/mix_t20.txt
python,20,85,20,0,16,1.000000,0.555556,0.714286,final-hybrid/sweep_py/mix_t20.txt
python,20,90,14,0,22,1.000000,0.388889,0.560000,final-hybrid/sweep_py/mix_t20.txt
python,20,95,6,0,30,1.000000,0.166667,0.285714,final-hybrid/sweep_py/mix_t20.txt
