language,min_tokens,threshold_pct,tp,fp,fn,precision,recall,f1
java,3,50,3,12,33,0.200000,0.083300,0.117600
java,3,55,2,10,34,0.166700,0.055600,0.083300
java,3,60,1,10,35,0.090900,0.027800,0.042600
java,3,65,0,9,36,0.000000,0.000000,0.000000
java,3,70,0,9,36,0.000000,0.000000,0.000000
java,3,75,0,9,36,0.000000,0.000000,0.000000
java,3,80,0,7,36,0.000000,0.000000,0.000000
java,3,85,0,6,36,0.000000,0.000000,0.000000
java,3,90,0,2,36,0.000000,0.000000,0.000000
java,3,95,0,1,36,0.000000,0.000000,0.000000
java,5,50,17,0,19,1.000000,0.472200,0.641500
java,5,55,12,0,24,1.000000,0.333300,0.500000
java,5,60,11,0,25,1.000000,0.305600,0.468100
java,5,65,11,0,25,1.000000,0.305600,0.468100
java,5,70,9,0,27,1.000000,0.250000,0.400000
java,5,75,7,0,29,1.000000,0.194400,0.325600
java,5,80,6,0,30,1.000000,0.166700,0.285700
java,5,85,1,0,35,1.000000,0.027800,0.054100
java,5,90,1,0,35,1.000000,0.027800,0.054100
java,5,95,1,0,35,1.000000,0.027800,0.054100
java,10,50,13,0,23,1.000000,0.361100,0.530600
java,10,55,10,0,26,1.000000,0.277800,0.434800
java,10,60,10,0,26,1.000000,0.277800,0.434800
java,10,65,10,0,26,1.000000,0.277800,0.434800
java,10,70,8,0,28,1.000000,0.222200,0.363600
java,10,75,6,0,30,1.000000,0.166700,0.285700
java,10,80,4,0,32,1.000000,0.111100,0.200000
java,10,85,2,0,34,1.000000,0.055600,0.105300
java,10,90,2,0,34,1.000000,0.055600,0.105300
java,10,95,2,0,34,1.000000,0.055600,0.105300
java,15,50,8,0,28,1.000000,0.222200,0.363600
java,15,55,8,0,28,1.000000,0.222200,0.363600
java,15,60,7,0,29,1.000000,0.194400,0.325600
java,15,65,6,0,30,1.000000,0.166700,0.285700
java,15,70,5,0,31,1.000000,0.138900,0.243900
java,15,75,4,0,32,1.000000,0.111100,0.200000
java,15,80,4,0,32,1.000000,0.111100,0.200000
java,15,85,3,0,33,1.000000,0.083300,0.153800
java,15,90,3,0,33,1.000000,0.083300,0.153800
java,15,95,3,0,33,1.000000,0.083300,0.153800
java,20,50,8,0,28,1.000000,0.222200,0.363600
java,20,55,7,0,29,1.000000,0.194400,0.325600
java,20,60,6,0,30,1.000000,0.166700,0.285700
java,20,65,6,0,30,1.000000,0.166700,0.285700
java,20,70,5,0,31,1.000000,0.138900,0.243900
java,20,75,4,0,32,1.000000,0.111100,0.200000
java,20,80,4,0,32,1.000000,0.111100,0.200000
java,20,85,3,0,33,1.000000,0.083300,0.153800
java,20,90,3,0,33,1.000000,0.083300,0.153800
java,20,95,3,0,33,1.000000,0.083300,0.153800
