language,min_tokens,threshold_pct,group_regex,tp,fp,fn,precision,recall,f1
ecmascript,5,50,^(C\d+)(?:[_-]|(?=[A-Z])),20,4,16,0.833300,0.555600,0.666700
ecmascript,5,55,^(C\d+)(?:[_-]|(?=[A-Z])),18,4,18,0.818200,0.500000,0.620700
ecmascript,5,60,^(C\d+)(?:[_-]|(?=[A-Z])),16,0,20,1.000000,0.444400,0.615400
ecmascript,5,65,^(C\d+)(?:[_-]|(?=[A-Z])),14,0,22,1.000000,0.388900,0.560000
ecmascript,5,70,^(C\d+)(?:[_-]|(?=[A-Z])),14,0,22,1.000000,0.388900,0.560000
ecmascript,5,75,^(C\d+)(?:[_-]|(?=[A-Z])),12,0,24,1.000000,0.333300,0.500000
ecmascript,5,80,^(C\d+)(?:[_-]|(?=[A-Z])),10,0,26,1.000000,0.277800,0.434800
ecmascript,5,85,^(C\d+)(?:[_-]|(?=[A-Z])),8,0,28,1.000000,0.222200,0.363600
ecmascript,5,90,^(C\d+)(?:[_-]|(?=[A-Z])),6,0,30,1.000000,0.166700,0.285700
ecmascript,5,95,^(C\d+)(?:[_-]|(?=[A-Z])),3,0,33,1.000000,0.083300,0.153800
ecmascript,10,50,^(C\d+)(?:[_-]|(?=[A-Z])),14,0,22,1.000000,0.388900,0.560000
ecmascript,10,55,^(C\d+)(?:[_-]|(?=[A-Z])),14,0,22,1.000000,0.388900,0.560000
ecmascript,10,60,^(C\d+)(?:[_-]|(?=[A-Z])),12,0,24,1.000000,0.333300,0.500000
ecmascript,10,65,^(C\d+)(?:[_-]|(?=[A-Z])),11,0,25,1.000000,0.305600,0.468100
ecmascript,10,70,^(C\d+)(?:[_-]|(?=[A-Z])),8,0,28,1.000000,0.222200,0.363600
ecmascript,10,75,^(C\d+)(?:[_-]|(?=[A-Z])),7,0,29,1.000000,0.194400,0.325600
ecmascript,10,80,^(C\d+)(?:[_-]|(?=[A-Z])),6,0,30,1.000000,0.166700,0.285700
ecmascript,10,85,^(C\d+)(?:[_-]|(?=[A-Z])),4,0,32,1.000000,0.111100,0.200000
ecmascript,10,90,^(C\d+)(?:[_-]|(?=[A-Z])),3,0,33,1.000000,0.083300,0.153800
ecmascript,10,95,^(C\d+)(?:[_-]|(?=[A-Z])),2,0,34,1.000000,0.055600,0.105300
ecmascript,25,50,^(C\d+)(?:[_-]|(?=[A-Z])),7,0,29,1.000000,0.194400,0.325600
ecmascript,25,55,^(C\d+)(?:[_-]|(?=[A-Z])),6,0,30,1.000000,0.166700,0.285700
ecmascript,25,60,^(C\d+)(?:[_-]|(?=[A-Z])),5,0,31,1.000000,0.138900,0.243900
ecmascript,25,65,^(C\d+)(?:[_-]|(?=[A-Z])),5,0,31,1.000000,0.138900,0.243900
ecmascript,25,70,^(C\d+)(?:[_-]|(?=[A-Z])),3,0,33,1.000000,0.083300,0.153800
ecmascript,25,75,^(C\d+)(?:[_-]|(?=[A-Z])),3,0,33,1.000000,0.083300,0.153800
ecmascript,25,80,^(C\d+)(?:[_-]|(?=[A-Z])),2,0,34,1.000000,0.055600,0.105300
ecmascript,25,85,^(C\d+)(?:[_-]|(?=[A-Z])),2,0,34,1.000000,0.055600,0.105300
ecmascript,25,90,^(C\d+)(?:[_-]|(?=[A-Z])),2,0,34,1.000000,0.055600,0.105300
ecmascript,25,95,^(C\d+)(?:[_-]|(?=[A-Z])),2,0,34,1.000000,0.055600,0.105300
ecmascript,40,50,^(C\d+)(?:[_-]|(?=[A-Z])),5,0,31,1.000000,0.138900,0.243900
ecmascript,40,55,^(C\d+)(?:[_-]|(?=[A-Z])),5,0,31,1.000000,0.138900,0.243900
ecmascript,40,60,^(C\d+)(?:[_-]|(?=[A-Z])),5,0,31,1.000000,0.138900,0.243900
ecmascript,40,65,^(C\d+)(?:[_-]|(?=[A-Z])),5,0,31,1.000000,0.138900,0.243900
ecmascript,40,70,^(C\d+)(?:[_-]|(?=[A-Z])),3,0,33,1.000000,0.083300,0.153800
ecmascript,40,75,^(C\d+)(?:[_-]|(?=[A-Z])),3,0,33,1.000000,0.083300,0.153800
ecmascript,40,80,^(C\d+)(?:[_-]|(?=[A-Z])),2,0,34,1.000000,0.055600,0.105300
ecmascript,40,85,^(C\d+)(?:[_-]|(?=[A-Z])),2,0,34,1.000000,0.055600,0.105300
ecmascript,40,90,^(C\d+)(?:[_-]|(?=[A-Z])),2,0,34,1.000000,0.055600,0.105300
