language,k,w,threshold_pct,tp,fp,fn,precision,recall,f1
python,12,17,50,23,10,13,0.697000,0.638900,0.666700
python,12,17,55,22,1,14,0.956500,0.611100,0.745800
python,12,17,60,22,0,14,1.000000,0.611100,0.758600
python,12,17,65,22,0,14,1.000000,0.611100,0.758600
python,12,17,70,17,0,19,1.000000,0.472200,0.641500
python,12,17,75,14,0,22,1.000000,0.388900,0.560000
python,12,17,80,14,0,22,1.000000,0.388900,0.560000
python,12,17,85,14,0,22,1.000000,0.388900,0.560000
python,12,17,90,10,0,26,1.000000,0.277800,0.434800
python,12,17,95,10,0,26,1.000000,0.277800,0.434800
python,12,25,50,23,9,13,0.718800,0.638900,0.676500
python,12,25,55,22,1,14,0.956500,0.611100,0.745800
python,12,25,60,19,0,17,1.000000,0.527800,0.690900
python,12,25,65,19,0,17,1.000000,0.527800,0.690900
python,12,25,70,19,0,17,1.000000,0.527800,0.690900
python,12,25,75,15,0,21,1.000000,0.416700,0.588200
python,12,25,80,14,0,22,1.000000,0.388900,0.560000
python,12,25,85,14,0,22,1.000000,0.388900,0.560000
python,12,25,90,12,0,24,1.000000,0.333300,0.500000
python,12,25,95,10,0,26,1.000000,0.277800,0.434800
python,12,40,50,25,59,11,0.297600,0.694400,0.416700
python,12,40,55,23,17,13,0.575000,0.638900,0.605300
python,12,40,60,22,12,14,0.647100,0.611100,0.628600
python,12,40,65,19,10,17,0.655200,0.527800,0.584600
python,12,40,70,17,10,19,0.629600,0.472200,0.539700
python,12,40,75,17,3,19,0.850000,0.472200,0.607100
python,12,40,80,14,3,22,0.823500,0.388900,0.528300
python,12,40,85,14,0,22,1.000000,0.388900,0.560000
python,12,40,90,10,0,26,1.000000,0.277800,0.434800
python,12,40,95,10,0,26,1.000000,0.277800,0.434800
python,17,17,50,22,0,14,1.000000,0.611100,0.758600
python,17,17,55,20,0,16,1.000000,0.555600,0.714300
python,17,17,60,17,0,19,1.000000,0.472200,0.641500
python,17,17,65,14,0,22,1.000000,0.388900,0.560000
python,17,17,70,14,0,22,1.000000,0.388900,0.560000
python,17,17,75,14,0,22,1.000000,0.388900,0.560000
python,17,17,80,14,0,22,1.000000,0.388900,0.560000
python,17,17,85,12,0,24,1.000000,0.333300,0.500000
python,17,17,90,12,0,24,1.000000,0.333300,0.500000
python,17,17,95,10,0,26,1.000000,0.277800,0.434800
python,17,25,50,24,0,12,1.000000,0.666700,0.800000
python,17,25,55,19,0,17,1.000000,0.527800,0.690900
python,17,25,60,17,0,19,1.000000,0.472200,0.641500
python,17,25,65,17,0,19,1.000000,0.472200,0.641500
python,17,25,70,14,0,22,1.000000,0.388900,0.560000
python,17,25,75,14,0,22,1.000000,0.388900,0.560000
python,17,25,80,12,0,24,1.000000,0.333300,0.500000
python,17,25,85,12,0,24,1.000000,0.333300,0.500000
python,17,25,90,12,0,24,1.000000,0.333300,0.500000
python,17,25,95,10,0,26,1.000000,0.277800,0.434800
python,17,40,50,21,5,15,0.807700,0.583300,0.677400
python,17,40,55,19,0,17,1.000000,0.527800,0.690900
python,17,40,60,17,0,19,1.000000,0.472200,0.641500
python,17,40,65,17,0,19,1.000000,0.472200,0.641500
python,17,40,70,17,0,19,1.000000,0.472200,0.641500
python,17,40,75,17,0,19,1.000000,0.472200,0.641500
python,17,40,80,17,0,19,1.000000,0.472200,0.641500
python,17,40,85,15,0,21,1.000000,0.416700,0.588200
python,17,40,90,12,0,24,1.000000,0.333300,0.500000
python,17,40,95,12,0,24,1.000000,0.333300,0.500000
python,23,17,50,17,0,19,1.000000,0.472200,0.641500
python,23,17,55,16,0,20,1.000000,0.444400,0.615400
python,23,17,60,16,0,20,1.000000,0.444400,0.615400
python,23,17,65,14,0,22,1.000000,0.388900,0.560000
python,23,17,70,12,0,24,1.000000,0.333300,0.500000
python,23,17,75,12,0,24,1.000000,0.333300,0.500000
python,23,17,80,12,0,24,1.000000,0.333300,0.500000
python,23,17,85,10,0,26,1.000000,0.277800,0.434800
python,23,17,90,10,0,26,1.000000,0.277800,0.434800
python,23,17,95,10,0,26,1.000000,0.277800,0.434800
python,23,25,50,17,0,19,1.000000,0.472200,0.641500
python,23,25,55,16,0,20,1.000000,0.444400,0.615400
python,23,25,60,16,0,20,1.000000,0.444400,0.615400
python,23,25,65,16,0,20,1.000000,0.444400,0.615400
python,23,25,70,14,0,22,1.000000,0.388900,0.560000
python,23,25,75,12,0,24,1.000000,0.333300,0.500000
python,23,25,80,12,0,24,1.000000,0.333300,0.500000
python,23,25,85,10,0,26,1.000000,0.277800,0.434800
python,23,25,90,10,0,26,1.000000,0.277800,0.434800
python,23,25,95,10,0,26,1.000000,0.277800,0.434800
python,23,40,50,21,10,15,0.677400,0.583300,0.626900
python,23,40,55,19,10,17,0.655200,0.527800,0.584600
python,23,40,60,16,0,20,1.000000,0.444400,0.615400
python,23,40,65,16,0,20,1.000000,0.444400,0.615400
python,23,40,70,14,0,22,1.000000,0.388900,0.560000
python,23,40,75,12,0,24,1.000000,0.333300,0.500000
python,23,40,80,12,0,24,1.000000,0.333300,0.500000
python,23,40,85,10,0,26,1.000000,0.277800,0.434800
python,23,40,90,10,0,26,1.000000,0.277800,0.434800
python,23,40,95,10,0,26,1.000000,0.277800,0.434800
