language,min_tokens,threshold_pct,group_regex,tp,fp,fn,precision,recall,f1
cpp,5,50,(?i)^(c\d+)(?:[_-]|(?=[A-Z])),26,7,10,0.787900,0.722200,0.753600
cpp,5,55,(?i)^(c\d+)(?:[_-]|(?=[A-Z])),22,5,14,0.814800,0.611100,0.698400
cpp,5,60,(?i)^(c\d+)(?:[_-]|(?=[A-Z])),20,2,16,0.909100,0.555600,0.689700
cpp,5,65,(?i)^(c\d+)(?:[_-]|(?=[A-Z])),18,0,18,1.000000,0.500000,0.666700
cpp,5,70,(?i)^(c\d+)(?:[_-]|(?=[A-Z])),15,0,21,1.000000,0.416700,0.588200
cpp,5,75,(?i)^(c\d+)(?:[_-]|(?=[A-Z])),12,0,24,1.000000,0.333300,0.500000
cpp,5,80,(?i)^(c\d+)(?:[_-]|(?=[A-Z])),7,0,29,1.000000,0.194400,0.325600
cpp,5,85,(?i)^(c\d+)(?:[_-]|(?=[A-Z])),4,0,32,1.000000,0.111100,0.200000
cpp,5,90,(?i)^(c\d+)(?:[_-]|(?=[A-Z])),3,0,33,1.000000,0.083300,0.153800
cpp,5,95,(?i)^(c\d+)(?:[_-]|(?=[A-Z])),2,0,34,1.000000,0.055600,0.105300
cpp,10,50,(?i)^(c\d+)(?:[_-]|(?=[A-Z])),17,0,19,1.000000,0.472200,0.641500
cpp,10,55,(?i)^(c\d+)(?:[_-]|(?=[A-Z])),14,0,22,1.000000,0.388900,0.560000
cpp,10,60,(?i)^(c\d+)(?:[_-]|(?=[A-Z])),13,0,23,1.000000,0.361100,0.530600
cpp,10,65,(?i)^(c\d+)(?:[_-]|(?=[A-Z])),11,0,25,1.000000,0.305600,0.468100
cpp,10,70,(?i)^(c\d+)(?:[_-]|(?=[A-Z])),10,0,26,1.000000,0.277800,0.434800
cpp,10,75,(?i)^(c\d+)(?:[_-]|(?=[A-Z])),9,0,27,1.000000,0.250000,0.400000
cpp,10,80,(?i)^(c\d+)(?:[_-]|(?=[A-Z])),9,0,27,1.000000,0.250000,0.400000
cpp,10,85,(?i)^(c\d+)(?:[_-]|(?=[A-Z])),6,0,30,1.000000,0.166700,0.285700
cpp,10,90,(?i)^(c\d+)(?:[_-]|(?=[A-Z])),4,0,32,1.000000,0.111100,0.200000
cpp,10,95,(?i)^(c\d+)(?:[_-]|(?=[A-Z])),4,0,32,1.000000,0.111100,0.200000
cpp,25,50,(?i)^(c\d+)(?:[_-]|(?=[A-Z])),8,0,28,1.000000,0.222200,0.363600
cpp,25,55,(?i)^(c\d+)(?:[_-]|(?=[A-Z])),7,0,29,1.000000,0.194400,0.325600
cpp,25,60,(?i)^(c\d+)(?:[_-]|(?=[A-Z])),7,0,29,1.000000,0.194400,0.325600
cpp,25,65,(?i)^(c\d+)(?:[_-]|(?=[A-Z])),7,0,29,1.000000,0.194400,0.325600
cpp,25,70,(?i)^(c\d+)(?:[_-]|(?=[A-Z])),5,0,31,1.000000,0.138900,0.243900
cpp,25,75,(?i)^(c\d+)(?:[_-]|(?=[A-Z])),5,0,31,1.000000,0.138900,0.243900
cpp,25,80,(?i)^(c\d+)(?:[_-]|(?=[A-Z])),5,0,31,1.000000,0.138900,0.243900
cpp,25,85,(?i)^(c\d+)(?:[_-]|(?=[A-Z])),4,0,32,1.000000,0.111100,0.200000
cpp,25,90,(?i)^(c\d+)(?:[_-]|(?=[A-Z])),4,0,32,1.000000,0.111100,0.200000
cpp,25,95,(?i)^(c\d+)(?:[_-]|(?=[A-Z])),4,0,32,1.000000,0.111100,0.200000
cpp,40,50,(?i)^(c\d+)(?:[_-]|(?=[A-Z])),8,0,28,1.000000,0.222200,0.363600
cpp,40,55,(?i)^(c\d+)(?:[_-]|(?=[A-Z])),6,0,30,1.000000,0.166700,0.285700
cpp,40,60,(?i)^(c\d+)(?:[_-]|(?=[A-Z])),6,0,30,1.000000,0.166700,0.285700
cpp,40,65,(?i)^(c\d+)(?:[_-]|(?=[A-Z])),6,0,30,1.000000,0.166700,0.285700
cpp,40,70,(?i)^(c\d+)(?:[_-]|(?=[A-Z])),4,0,32,1.000000,0.111100,0.200000
cpp,40,75,(?i)^(c\d+)(?:[_-]|(?=[A-Z])),4,0,32,1.000000,0.111100,0.200000
