language,k,w,threshold_pct,tp,fp,fn,precision,recall,f1
java,12,17,50,30,14,6,0.681800,0.833300,0.750000
java,12,17,55,25,2,11,0.925900,0.694400,0.793700
java,12,17,60,23,2,13,0.920000,0.638900,0.754100
java,12,17,65,23,0,13,1.000000,0.638900,0.779700
java,12,17,70,19,0,17,1.000000,0.527800,0.690900
java,12,17,75,19,0,17,1.000000,0.527800,0.690900
java,12,17,80,15,0,21,1.000000,0.416700,0.588200
java,12,17,85,14,0,22,1.000000,0.388900,0.560000
java,12,17,90,14,0,22,1.000000,0.388900,0.560000
java,12,17,95,11,0,25,1.000000,0.305600,0.468100
java,12,25,50,28,12,8,0.700000,0.777800,0.736800
java,12,25,55,25,12,11,0.675700,0.694400,0.684900
java,12,25,60,23,3,13,0.884600,0.638900,0.741900
java,12,25,65,20,0,16,1.000000,0.555600,0.714300
java,12,25,70,19,0,17,1.000000,0.527800,0.690900
java,12,25,75,16,0,20,1.000000,0.444400,0.615400
java,12,25,80,15,0,21,1.000000,0.416700,0.588200
java,12,25,85,14,0,22,1.000000,0.388900,0.560000
java,12,25,90,14,0,22,1.000000,0.388900,0.560000
java,12,25,95,11,0,25,1.000000,0.305600,0.468100
java,12,40,50,31,28,5,0.525400,0.861100,0.652600
java,12,40,55,30,16,6,0.652200,0.833300,0.731700
java,12,40,60,26,4,10,0.866700,0.722200,0.787900
java,12,40,65,23,4,13,0.851900,0.638900,0.730200
java,12,40,70,23,0,13,1.000000,0.638900,0.779700
java,12,40,75,19,0,17,1.000000,0.527800,0.690900
java,12,40,80,19,0,17,1.000000,0.527800,0.690900
java,12,40,85,18,0,18,1.000000,0.500000,0.666700
java,12,40,90,14,0,22,1.000000,0.388900,0.560000
java,12,40,95,14,0,22,1.000000,0.388900,0.560000
java,17,17,50,27,4,9,0.871000,0.750000,0.806000
java,17,17,55,25,4,11,0.862100,0.694400,0.769200
java,17,17,60,23,2,13,0.920000,0.638900,0.754100
java,17,17,65,19,0,17,1.000000,0.527800,0.690900
java,17,17,70,18,0,18,1.000000,0.500000,0.666700
java,17,17,75,18,0,18,1.000000,0.500000,0.666700
java,17,17,80,15,0,21,1.000000,0.416700,0.588200
java,17,17,85,15,0,21,1.000000,0.416700,0.588200
java,17,17,90,14,0,22,1.000000,0.388900,0.560000
java,17,17,95,11,0,25,1.000000,0.305600,0.468100
java,17,25,50,25,7,11,0.781200,0.694400,0.735300
java,17,25,55,25,4,11,0.862100,0.694400,0.769200
java,17,25,60,25,4,11,0.862100,0.694400,0.769200
java,17,25,65,19,4,17,0.826100,0.527800,0.644100
java,17,25,70,18,0,18,1.000000,0.500000,0.666700
java,17,25,75,18,0,18,1.000000,0.500000,0.666700
java,17,25,80,15,0,21,1.000000,0.416700,0.588200
java,17,25,85,15,0,21,1.000000,0.416700,0.588200
java,17,25,90,11,0,25,1.000000,0.305600,0.468100
java,17,25,95,11,0,25,1.000000,0.305600,0.468100
java,17,40,50,30,11,6,0.731700,0.833300,0.779200
java,17,40,55,25,9,11,0.735300,0.694400,0.714300
java,17,40,60,25,6,11,0.806500,0.694400,0.746300
java,17,40,65,25,4,11,0.862100,0.694400,0.769200
java,17,40,70,22,2,14,0.916700,0.611100,0.733300
java,17,40,75,19,0,17,1.000000,0.527800,0.690900
java,17,40,80,15,0,21,1.000000,0.416700,0.588200
java,17,40,85,15,0,21,1.000000,0.416700,0.588200
java,17,40,90,14,0,22,1.000000,0.388900,0.560000
java,17,40,95,11,0,25,1.000000,0.305600,0.468100
java,23,17,50,23,0,13,1.000000,0.638900,0.779700
java,23,17,55,17,0,19,1.000000,0.472200,0.641500
java,23,17,60,17,0,19,1.000000,0.472200,0.641500
java,23,17,65,16,0,20,1.000000,0.444400,0.615400
java,23,17,70,16,0,20,1.000000,0.444400,0.615400
java,23,17,75,15,0,21,1.000000,0.416700,0.588200
java,23,17,80,15,0,21,1.000000,0.416700,0.588200
java,23,17,85,15,0,21,1.000000,0.416700,0.588200
java,23,17,90,14,0,22,1.000000,0.388900,0.560000
java,23,17,95,14,0,22,1.000000,0.388900,0.560000
java,23,25,50,27,0,9,1.000000,0.750000,0.857100
java,23,25,55,17,0,19,1.000000,0.472200,0.641500
java,23,25,60,17,0,19,1.000000,0.472200,0.641500
java,23,25,65,17,0,19,1.000000,0.472200,0.641500
java,23,25,70,16,0,20,1.000000,0.444400,0.615400
java,23,25,75,15,0,21,1.000000,0.416700,0.588200
java,23,25,80,15,0,21,1.000000,0.416700,0.588200
java,23,25,85,14,0,22,1.000000,0.388900,0.560000
java,23,25,90,14,0,22,1.000000,0.388900,0.560000
java,23,25,95,14,0,22,1.000000,0.388900,0.560000
java,23,40,50,24,5,12,0.827600,0.666700,0.738500
java,23,40,55,18,0,18,1.000000,0.500000,0.666700
java,23,40,60,18,0,18,1.000000,0.500000,0.666700
java,23,40,65,15,0,21,1.000000,0.416700,0.588200
java,23,40,70,15,0,21,1.000000,0.416700,0.588200
java,23,40,75,15,0,21,1.000000,0.416700,0.588200
java,23,40,80,15,0,21,1.000000,0.416700,0.588200
java,23,40,85,14,0,22,1.000000,0.388900,0.560000
java,23,40,90,14,0,22,1.000000,0.388900,0.560000
java,23,40,95,14,0,22,1.000000,0.388900,0.560000
