language,t,threshold_pct,tp,fp,fn,precision,recall,f1,results_csv
java,3,50,33,62,3,0.347400,0.916700,0.503800,result-jplag/mix_t3/results.csv
java,3,55,33,49,3,0.402400,0.916700,0.559300,result-jplag/mix_t3/results.csv
java,3,60,30,25,6,0.545500,0.833300,0.659300,result-jplag/mix_t3/results.csv
java,3,65,30,12,6,0.714300,0.833300,0.769200,result-jplag/mix_t3/results.csv
java,3,70,26,6,10,0.812500,0.722200,0.764700,result-jplag/mix_t3/results.csv
java,3,75,26,6,10,0.812500,0.722200,0.764700,result-jplag/mix_t3/results.csv
java,3,80,22,6,14,0.785700,0.611100,0.687500,result-jplag/mix_t3/results.csv
java,3,85,20,0,16,1.000000,0.555600,0.714300,result-jplag/mix_t3/results.csv
java,3,90,18,0,18,1.000000,0.500000,0.666700,result-jplag/mix_t3/results.csv
java,3,95,15,0,21,1.000000,0.416700,0.588200,result-jplag/mix_t3/results.csv
java,5,50,28,6,8,0.823500,0.777800,0.800000,result-jplag/mix_t5/results.csv
java,5,55,21,6,15,0.777800,0.583300,0.666700,result-jplag/mix_t5/results.csv
java,5,60,21,6,15,0.777800,0.583300,0.666700,result-jplag/mix_t5/results.csv
java,5,65,21,6,15,0.777800,0.583300,0.666700,result-jplag/mix_t5/results.csv
java,5,70,20,6,16,0.769200,0.555600,0.645200,result-jplag/mix_t5/results.csv
java,5,75,20,6,16,0.769200,0.555600,0.645200,result-jplag/mix_t5/results.csv
java,5,80,17,6,19,0.739100,0.472200,0.576300,result-jplag/mix_t5/results.csv
java,5,85,17,0,19,1.000000,0.472200,0.641500,result-jplag/mix_t5/results.csv
java,5,90,15,0,21,1.000000,0.416700,0.588200,result-jplag/mix_t5/results.csv
java,5,95,15,0,21,1.000000,0.416700,0.588200,result-jplag/mix_t5/results.csv
java,10,50,24,6,12,0.800000,0.666700,0.727300,result-jplag/mix_t10/results.csv
java,10,55,20,6,16,0.769200,0.555600,0.645200,result-jplag/mix_t10/results.csv
java,10,60,18,6,18,0.750000,0.500000,0.600000,result-jplag/mix_t10/results.csv
java,10,65,18,6,18,0.750000,0.500000,0.600000,result-jplag/mix_t10/results.csv
java,10,70,18,6,18,0.750000,0.500000,0.600000,result-jplag/mix_t10/results.csv
java,10,75,18,6,18,0.750000,0.500000,0.600000,result-jplag/mix_t10/results.csv
java,10,80,15,6,21,0.714300,0.416700,0.526300,result-jplag/mix_t10/results.csv
java,10,85,15,0,21,1.000000,0.416700,0.588200,result-jplag/mix_t10/results.csv
java,10,90,15,0,21,1.000000,0.416700,0.588200,result-jplag/mix_t10/results.csv
java,10,95,15,0,21,1.000000,0.416700,0.588200,result-jplag/mix_t10/results.csv
java,15,50,16,0,8,1.000000,0.666700,0.800000,result-jplag/mix_t15/results.csv
java,15,55,14,0,10,1.000000,0.583300,0.736800,result-jplag/mix_t15/results.csv
java,15,60,14,0,10,1.000000,0.583300,0.736800,result-jplag/mix_t15/results.csv
java,15,65,14,0,10,1.000000,0.583300,0.736800,result-jplag/mix_t15/results.csv
java,15,70,14,0,10,1.000000,0.583300,0.736800,result-jplag/mix_t15/results.csv
java,15,75,14,0,10,1.000000,0.583300,0.736800,result-jplag/mix_t15/results.csv
java,15,80,11,0,13,1.000000,0.458300,0.628600,result-jplag/mix_t15/results.csv
java,15,85,11,0,13,1.000000,0.458300,0.628600,result-jplag/mix_t15/results.csv
java,15,90,11,0,13,1.000000,0.458300,0.628600,result-jplag/mix_t15/results.csv
java,15,95,11,0,13,1.000000,0.458300,0.628600,result-jplag/mix_t15/results.csv
java,20,50,2,0,13,1.000000,0.133300,0.235300,result-jplag/mix_t20/results.csv
java,20,55,2,0,13,1.000000,0.133300,0.235300,result-jplag/mix_t20/results.csv
java,20,60,2,0,13,1.000000,0.133300,0.235300,result-jplag/mix_t20/results.csv
java,20,65,2,0,13,1.000000,0.133300,0.235300,result-jplag/mix_t20/results.csv
java,20,70,2,0,13,1.000000,0.133300,0.235300,result-jplag/mix_t20/results.csv
java,20,75,2,0,13,1.000000,0.133300,0.235300,result-jplag/mix_t20/results.csv
java,20,80,2,0,13,1.000000,0.133300,0.235300,result-jplag/mix_t20/results.csv
java,20,85,2,0,13,1.000000,0.133300,0.235300,result-jplag/mix_t20/results.csv
java,20,90,2,0,13,1.000000,0.133300,0.235300,result-jplag/mix_t20/results.csv
java,20,95,2,0,13,1.000000,0.133300,0.235300,result-jplag/mix_t20/results.csv
