language,k,w,threshold_pct,tp,fp,fn,precision,recall,f1,raw_pairs_txt
python,12,17,50,34,0,2,1.000000,0.944444,0.971429,final-hybrid/sweep_python_kw/mix_k12_w17.txt
python,12,17,55,33,0,3,1.000000,0.916667,0.956522,final-hybrid/sweep_python_kw/mix_k12_w17.txt
python,12,17,60,33,0,3,1.000000,0.916667,0.956522,final-hybrid/sweep_python_kw/mix_k12_w17.txt
python,12,17,65,31,0,5,1.000000,0.861111,0.925373,final-hybrid/sweep_python_kw/mix_k12_w17.txt
python,12,17,70,27,0,9,1.000000,0.750000,0.857143,final-hybrid/sweep_python_kw/mix_k12_w17.txt
python,12,17,75,19,0,17,1.000000,0.527778,0.690909,final-hybrid/sweep_python_kw/mix_k12_w17.txt
python,12,17,80,13,0,23,1.000000,0.361111,0.530612,final-hybrid/sweep_python_kw/mix_k12_w17.txt
python,12,17,85,11,0,25,1.000000,0.305556,0.468085,final-hybrid/sweep_python_kw/mix_k12_w17.txt
python,12,17,90,9,0,27,1.000000,0.250000,0.400000,final-hybrid/sweep_python_kw/mix_k12_w17.txt
python,12,17,95,5,0,31,1.000000,0.138889,0.243902,final-hybrid/sweep_python_kw/mix_k12_w17.txt
python,12,25,50,34,0,2,1.000000,0.944444,0.971429,final-hybrid/sweep_python_kw/mix_k12_w25.txt
python,12,25,55,33,0,3,1.000000,0.916667,0.956522,final-hybrid/sweep_python_kw/mix_k12_w25.txt
python,12,25,60,33,0,3,1.000000,0.916667,0.956522,final-hybrid/sweep_python_kw/mix_k12_w25.txt
python,12,25,65,30,0,6,1.000000,0.833333,0.909091,final-hybrid/sweep_python_kw/mix_k12_w25.txt
python,12,25,70,22,0,14,1.000000,0.611111,0.758621,final-hybrid/sweep_python_kw/mix_k12_w25.txt
python,12,25,75,18,0,18,1.000000,0.500000,0.666667,final-hybrid/sweep_python_kw/mix_k12_w25.txt
python,12,25,80,15,0,21,1.000000,0.416667,0.588235,final-hybrid/sweep_python_kw/mix_k12_w25.txt
python,12,25,85,10,0,26,1.000000,0.277778,0.434783,final-hybrid/sweep_python_kw/mix_k12_w25.txt
python,12,25,90,9,0,27,1.000000,0.250000,0.400000,final-hybrid/sweep_python_kw/mix_k12_w25.txt
python,12,25,95,5,0,31,1.000000,0.138889,0.243902,final-hybrid/sweep_python_kw/mix_k12_w25.txt
python,12,40,50,34,0,2,1.000000,0.944444,0.971429,final-hybrid/sweep_python_kw/mix_k12_w40.txt
python,12,40,55,33,0,3,1.000000,0.916667,0.956522,final-hybrid/sweep_python_kw/mix_k12_w40.txt
python,12,40,60,32,0,4,1.000000,0.888889,0.941176,final-hybrid/sweep_python_kw/mix_k12_w40.txt
python,12,40,65,31,0,5,1.000000,0.861111,0.925373,final-hybrid/sweep_python_kw/mix_k12_w40.txt
python,12,40,70,26,0,10,1.000000,0.722222,0.838710,final-hybrid/sweep_python_kw/mix_k12_w40.txt
python,12,40,75,18,0,18,1.000000,0.500000,0.666667,final-hybrid/sweep_python_kw/mix_k12_w40.txt
python,12,40,80,16,0,20,1.000000,0.444444,0.615385,final-hybrid/sweep_python_kw/mix_k12_w40.txt
python,12,40,85,10,0,26,1.000000,0.277778,0.434783,final-hybrid/sweep_python_kw/mix_k12_w40.txt
python,12,40,90,9,0,27,1.000000,0.250000,0.400000,final-hybrid/sweep_python_kw/mix_k12_w40.txt
python,12,40,95,5,0,31,1.000000,0.138889,0.243902,final-hybrid/sweep_python_kw/mix_k12_w40.txt
python,17,17,50,34,0,2,1.000000,0.944444,0.971429,final-hybrid/sweep_python_kw/mix_k17_w17.txt
python,17,17,55,32,0,4,1.000000,0.888889,0.941176,final-hybrid/sweep_python_kw/mix_k17_w17.txt
python,17,17,60,32,0,4,1.000000,0.888889,0.941176,final-hybrid/sweep_python_kw/mix_k17_w17.txt
python,17,17,65,26,0,10,1.000000,0.722222,0.838710,final-hybrid/sweep_python_kw/mix_k17_w17.txt
python,17,17,70,17,0,19,1.000000,0.472222,0.641509,final-hybrid/sweep_python_kw/mix_k17_w17.txt
python,17,17,75,16,0,20,1.000000,0.444444,0.615385,final-hybrid/sweep_python_kw/mix_k17_w17.txt
python,17,17,80,12,0,24,1.000000,0.333333,0.500000,final-hybrid/sweep_python_kw/mix_k17_w17.txt
python,17,17,85,10,0,26,1.000000,0.277778,0.434783,final-hybrid/sweep_python_kw/mix_k17_w17.txt
python,17,17,90,9,0,27,1.000000,0.250000,0.400000,final-hybrid/sweep_python_kw/mix_k17_w17.txt
python,17,17,95,5,0,31,1.000000,0.138889,0.243902,final-hybrid/sweep_python_kw/mix_k17_w17.txt
python,17,25,50,34,0,2,1.000000,0.944444,0.971429,final-hybrid/sweep_python_kw/mix_k17_w25.txt
python,17,25,55,32,0,4,1.000000,0.888889,0.941176,final-hybrid/sweep_python_kw/mix_k17_w25.txt
python,17,25,60,32,0,4,1.000000,0.888889,0.941176,final-hybrid/sweep_python_kw/mix_k17_w25.txt
python,17,25,65,26,0,10,1.000000,0.722222,0.838710,final-hybrid/sweep_python_kw/mix_k17_w25.txt
python,17,25,70,17,0,19,1.000000,0.472222,0.641509,final-hybrid/sweep_python_kw/mix_k17_w25.txt
python,17,25,75,16,0,20,1.000000,0.444444,0.615385,final-hybrid/sweep_python_kw/mix_k17_w25.txt
python,17,25,80,12,0,24,1.000000,0.333333,0.500000,final-hybrid/sweep_python_kw/mix_k17_w25.txt
python,17,25,85,10,0,26,1.000000,0.277778,0.434783,final-hybrid/sweep_python_kw/mix_k17_w25.txt
python,17,25,90,9,0,27,1.000000,0.250000,0.400000,final-hybrid/sweep_python_kw/mix_k17_w25.txt
python,17,25,95,5,0,31,1.000000,0.138889,0.243902,final-hybrid/sweep_python_kw/mix_k17_w25.txt
python,17,40,50,34,0,2,1.000000,0.944444,0.971429,final-hybrid/sweep_python_kw/mix_k17_w40.txt
python,17,40,55,32,0,4,1.000000,0.888889,0.941176,final-hybrid/sweep_python_kw/mix_k17_w40.txt
python,17,40,60,32,0,4,1.000000,0.888889,0.941176,final-hybrid/sweep_python_kw/mix_k17_w40.txt
python,17,40,65,27,0,9,1.000000,0.750000,0.857143,final-hybrid/sweep_python_kw/mix_k17_w40.txt
python,17,40,70,17,0,19,1.000000,0.472222,0.641509,final-hybrid/sweep_python_kw/mix_k17_w40.txt
python,17,40,75,16,0,20,1.000000,0.444444,0.615385,final-hybrid/sweep_python_kw/mix_k17_w40.txt
python,17,40,80,12,0,24,1.000000,0.333333,0.500000,final-hybrid/sweep_python_kw/mix_k17_w40.txt
python,17,40,85,10,0,26,1.000000,0.277778,0.434783,final-hybrid/sweep_python_kw/mix_k17_w40.txt
python,17,40,90,9,0,27,1.000000,0.250000,0.400000,final-hybrid/sweep_python_kw/mix_k17_w40.txt
python,17,40,95,5,0,31,1.000000,0.138889,0.243902,final-hybrid/sweep_python_kw/mix_k17_w40.txt
python,23,17,50,34,0,2,1.000000,0.944444,0.971429,final-hybrid/sweep_python_kw/mix_k23_w17.txt
python,23,17,55,32,0,4,1.000000,0.888889,0.941176,final-hybrid/sweep_python_kw/mix_k23_w17.txt
python,23,17,60,32,0,4,1.000000,0.888889,0.941176,final-hybrid/sweep_python_kw/mix_k23_w17.txt
python,23,17,65,26,0,10,1.000000,0.722222,0.838710,final-hybrid/sweep_python_kw/mix_k23_w17.txt
python,23,17,70,17,0,19,1.000000,0.472222,0.641509,final-hybrid/sweep_python_kw/mix_k23_w17.txt
python,23,17,75,16,0,20,1.000000,0.444444,0.615385,final-hybrid/sweep_python_kw/mix_k23_w17.txt
