language,t,threshold_pct,tp,fp,fn,precision,recall,f1,results_csv
python3,3,50,20,36,16,0.357100,0.555600,0.434800,result-jplag/mix_t3/results.csv
python3,3,55,17,18,19,0.485700,0.472200,0.478900,result-jplag/mix_t3/results.csv
python3,3,60,17,15,19,0.531200,0.472200,0.500000,result-jplag/mix_t3/results.csv
python3,3,65,17,9,19,0.653800,0.472200,0.548400,result-jplag/mix_t3/results.csv
python3,3,70,17,9,19,0.653800,0.472200,0.548400,result-jplag/mix_t3/results.csv
python3,3,75,17,9,19,0.653800,0.472200,0.548400,result-jplag/mix_t3/results.csv
python3,3,80,14,9,22,0.608700,0.388900,0.474600,result-jplag/mix_t3/results.csv
python3,3,85,14,3,22,0.823500,0.388900,0.528300,result-jplag/mix_t3/results.csv
python3,3,90,14,0,22,1.000000,0.388900,0.560000,result-jplag/mix_t3/results.csv
python3,3,95,14,0,22,1.000000,0.388900,0.560000,result-jplag/mix_t3/results.csv
python3,5,50,20,6,16,0.769200,0.555600,0.645200,result-jplag/mix_t5/results.csv
python3,5,55,17,6,19,0.739100,0.472200,0.576300,result-jplag/mix_t5/results.csv
python3,5,60,17,6,19,0.739100,0.472200,0.576300,result-jplag/mix_t5/results.csv
python3,5,65,17,6,19,0.739100,0.472200,0.576300,result-jplag/mix_t5/results.csv
python3,5,70,17,6,19,0.739100,0.472200,0.576300,result-jplag/mix_t5/results.csv
python3,5,75,17,6,19,0.739100,0.472200,0.576300,result-jplag/mix_t5/results.csv
python3,5,80,14,6,22,0.700000,0.388900,0.500000,result-jplag/mix_t5/results.csv
python3,5,85,14,0,22,1.000000,0.388900,0.560000,result-jplag/mix_t5/results.csv
python3,5,90,14,0,22,1.000000,0.388900,0.560000,result-jplag/mix_t5/results.csv
python3,5,95,14,0,22,1.000000,0.388900,0.560000,result-jplag/mix_t5/results.csv
python3,10,50,13,0,11,1.000000,0.541700,0.702700,result-jplag/mix_t10/results.csv
python3,10,55,13,0,11,1.000000,0.541700,0.702700,result-jplag/mix_t10/results.csv
python3,10,60,13,0,11,1.000000,0.541700,0.702700,result-jplag/mix_t10/results.csv
python3,10,65,13,0,11,1.000000,0.541700,0.702700,result-jplag/mix_t10/results.csv
python3,10,70,13,0,11,1.000000,0.541700,0.702700,result-jplag/mix_t10/results.csv
python3,10,75,13,0,11,1.000000,0.541700,0.702700,result-jplag/mix_t10/results.csv
python3,10,80,10,0,14,1.000000,0.416700,0.588200,result-jplag/mix_t10/results.csv
python3,10,85,10,0,14,1.000000,0.416700,0.588200,result-jplag/mix_t10/results.csv
python3,10,90,10,0,14,1.000000,0.416700,0.588200,result-jplag/mix_t10/results.csv
python3,10,95,10,0,14,1.000000,0.416700,0.588200,result-jplag/mix_t10/results.csv
python3,15,50,3,0,4,1.000000,0.428600,0.600000,result-jplag/mix_t15/results.csv
python3,15,55,3,0,4,1.000000,0.428600,0.600000,result-jplag/mix_t15/results.csv
python3,15,60,3,0,4,1.000000,0.428600,0.600000,result-jplag/mix_t15/results.csv
python3,15,65,3,0,4,1.000000,0.428600,0.600000,result-jplag/mix_t15/results.csv
python3,15,70,3,0,4,1.000000,0.428600,0.600000,result-jplag/mix_t15/results.csv
python3,15,75,3,0,4,1.000000,0.428600,0.600000,result-jplag/mix_t15/results.csv
python3,15,80,3,0,4,1.000000,0.428600,0.600000,result-jplag/mix_t15/results.csv
python3,15,85,3,0,4,1.000000,0.428600,0.600000,result-jplag/mix_t15/results.csv
python3,15,90,3,0,4,1.000000,0.428600,0.600000,result-jplag/mix_t15/results.csv
python3,15,95,3,0,4,1.000000,0.428600,0.600000,result-jplag/mix_t15/results.csv
python3,20,50,0,0,1,0.000000,0.000000,0.000000,result-jplag/mix_t20/results.csv
python3,20,55,0,0,1,0.000000,0.000000,0.000000,result-jplag/mix_t20/results.csv
python3,20,60,0,0,1,0.000000,0.000000,0.000000,result-jplag/mix_t20/results.csv
python3,20,65,0,0,1,0.000000,0.000000,0.000000,result-jplag/mix_t20/results.csv
python3,20,70,0,0,1,0.000000,0.000000,0.000000,result-jplag/mix_t20/results.csv
python3,20,75,0,0,1,0.000000,0.000000,0.000000,result-jplag/mix_t20/results.csv
python3,20,80,0,0,1,0.000000,0.000000,0.000000,result-jplag/mix_t20/results.csv
python3,20,85,0,0,1,0.000000,0.000000,0.000000,result-jplag/mix_t20/results.csv
python3,20,90,0,0,1,0.000000,0.000000,0.000000,result-jplag/mix_t20/results.csv
python3,20,95,0,0,1,0.000000,0.000000,0.000000,result-jplag/mix_t20/results.csv
